Código;Especie;Nombre común/vulgar;Medio;Familia;Clases;Origen;Endemicidad;Imagen
F02326;Aaronsohnia pubescens (Desf.) K. Bremer & Humphries;;Terrestre;Asteraceae;Magnoliopsida;NP;No endémico;null
F02325;Aaronsohnia pubescens (Desf.) K. Bremer & Humphries subsp. maroccana (P. W. Ball) H. Förther & D. Podlech;;Terrestre;Asteraceae;Magnoliopsida;NP;No endémico;3
F01000;Abutilon grandifolium (Willd.) Sweet;Abutilo;Terrestre;Malvaceae;Magnoliopsida;ISI;No endémico;2
F00456;Acacia cyclops A. Cunn. ex Don;Acacia cíclope;Terrestre;Fabaceae;Magnoliopsida;ISI;No endémico;6
F00457;Acacia dealbata Link;Mimosa cenicienta;Terrestre;Fabaceae;Magnoliopsida;ISN;No endémico;2
F00458;Acacia farnesiana (L.) Willd.;Aromo espinoso;Terrestre;Fabaceae;Magnoliopsida;ISI;No endémico;1
F02309;Acacia melanoxylon R. Br.;Acacia negra;Terrestre;Fabaceae;Magnoliopsida;ISI;No endémico;null
F00723;Acacia salicina Lindl. in Mitchell;;Terrestre;Fabaceae;Magnoliopsida;ISI;No endémico;null
F00455;Acacia saligna (Labill.) H.L. Wendl.;Acacia azul;Terrestre;Fabaceae;Magnoliopsida;ISI;No endémico;1
E07792;Acalypha brachystachya Hornem.;;Terrestre;Euphorbiaceae;Magnoliopsida;ISN;No endémico;null
C00248;Acanthocoleus aberrans (Lindenb. et Gottsche) Kruijt;;Terrestre;Lejeuneaceae;Jungermanniopsida;NP;No endémico;null
F00072;Acanthus mollis L.;Acanto;Terrestre;Acanthaceae;Magnoliopsida;;No endémico;3
C00140;Acaulon fontiquerianum Casas & Sérgio;;Terrestre;Pottiaceae;Bryopsida;NP;No endémico;null
E00001;Acaulon mediterraneum Limpr.;;Terrestre;Pottiaceae;Bryopsida;NP;No endémico;null
C00141;Acaulon muticum (Hedw.) Müll.Hal.;;Terrestre;Pottiaceae;Bryopsida;NP;No endémico;null
C00142;Acaulon triquetrum (Spruce) Müll.Hal.;;Terrestre;Pottiaceae;Bryopsida;NP;No endémico;null
F00074;Acer campestre L.;Arce común;Terrestre;Sapindaceae;Magnoliopsida;ISN;No endémico;null
